text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
beekeeping,8,by,Beekeeping is the maintenance of bee colonies by,"[('Colony of Bees | bee colonies', 'used by', 'Beekeeping'), ('Colony of Bees | bee colonies', 'natural product of taxon', 'Beekeeping')]","[('Colony of Bees | bee colonies', 'natural product of taxon', 'Beekeeping'), ('Colony of Bees | bee colonies', 'used by', 'Beekeeping')]","[0.23999999463558197, 0.699999988079071]"
beekeeping,16,hives.,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives.","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[1.0, 0.38999998569488525]"
beekeeping,26,honey,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey","[('Honey bee | honey', 'natural product of taxon', 'Bee | bee')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Honey bee | honey', 'natural product of taxon', 'Bee | bee')]","[1.0, 0.9599999785423279]"
beekeeping,28,A,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A","[('Honey bee | honey bees', 'different from', 'Bee | bee'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.10000000149011612, 0.27000001072883606]"
beekeeping,30,maintains,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.1599999964237213, 0.6000000238418579, 0.17000000178813934]"
beekeeping,38,honey,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey","[('Honey | honey', 'natural product of taxon', 'Honey bee | honey bees')]","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee'), ('Honey | honey', 'natural product of taxon', 'Honey bee | honey bees')]","[0.6700000166893005, 0.5299999713897705, 0.28999999165534973, 0.8399999737739563]"
beekeeping,44,hive,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive","[('Beekeeping', 'facet of', 'Honey bee | honey bees')]","[('Beekeeping', 'facet of', 'Honey bee | honey bees'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee')]","[0.25, 0.5799999833106995, 0.10999999940395355]"
beekeeping,46,(such,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such","[('Honey bee | honey bees', 'part of', 'Beekeeping'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[('Honey bee | honey bees', 'part of', 'Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[0.12999999523162842, 0.38999998569488525, 0.27000001072883606, 0.20000000298023224]"
beekeeping,65,of,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of","[('Beeswax | beeswax', 'used by', 'Beekeeping'), ('Beekeeper | beekeeper', 'used by', 'Beekeeping')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'different from', 'Bee | bee'), ('Beekeeper | beekeeper', 'used by', 'Beekeeping'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping'), ('Beeswax | beeswax', 'used by', 'Beekeeping')]","[0.8700000047683716, 0.1899999976158142, 0.10000000149011612, 0.11999999731779099, 0.11999999731779099]"
beekeeping,71,art,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art","[('Honey | honey', 'natural product of taxon', 'Bee | bees')]","[('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey | honey', 'natural product of taxon', 'Bee | bees')]","[0.6899999976158142, 0.3499999940395355]"
beekeeping,78,Back,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back","[('Honeycomb | hives', 'used by', 'Beekeeper | Beekeeping')]","[('Honeycomb | hives', 'used by', 'Beekeeper | Beekeeping'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee')]","[0.5099999904632568, 0.6499999761581421]"
beekeeping,114,when,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and other products that the hive produces (such as beeswax), but also to pollinate crops, or to produce bees for sale to other beekeepers. The domestication of bees is depicted in Egyptian art from over four thousand years ago. Back then, simple hives and smoke were used for beekeeping, and honey was stored in jars – some of which were found in the tombs of pharaohs. This process was largely unchanged until the eighteenth century, when","[('Bee | bee', 'different from', 'Honey bee | honey bees')]","[('Bee | bee', 'different from', 'Honey bee | honey bees'), ('Honey bee | honey bees', 'different from', 'Bee | bee'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Honey bee | honey bees', 'subclass of', 'Bee | bee'), ('Beekeeper | beekeeper', 'part of', 'Beekeeping')]","[0.33000001311302185, 0.27000001072883606, 0.23999999463558197, 0.41999998688697815, 0.33000001311302185]"
