text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
wed,1,World,no,World,[],[]
wed,2,Environment,no,World Environment,[],[]
wed,3,Day,no,World Environment Day,[],[]
wed,4,(WED),no,World Environment Day (WED),[],[]
wed,5,is,no,World Environment Day (WED) is,[],[]
wed,6,celebrated,no,World Environment Day (WED) is celebrated,[],[]
wed,7,on,no,World Environment Day (WED) is celebrated on,[],[]
wed,8,the,no,World Environment Day (WED) is celebrated on the,[],[]
wed,9,fifth,no,World Environment Day (WED) is celebrated on the fifth,[],[]
wed,10,of,no,World Environment Day (WED) is celebrated on the fifth of,[],[]
wed,11,June,no,World Environment Day (WED) is celebrated on the fifth of June,[],[]
wed,12,every,no,World Environment Day (WED) is celebrated on the fifth of June every,[],[]
wed,13,year,no,World Environment Day (WED) is celebrated on the fifth of June every year,[],[]
wed,14,and,no,World Environment Day (WED) is celebrated on the fifth of June every year and,[],[]
wed,15,is,no,World Environment Day (WED) is celebrated on the fifth of June every year and is,[],[]
wed,16,the,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the,[],[]
wed,17,United,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United,[],[]
wed,18,Nation's,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's,[],[]
wed,19,principal,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal,[],[]
wed,20,vehicle,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle,"[('World Environment Day', 'conferred by', 'United Nations Environment Organization | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations Environment Organization | United Nation')]","[0.41999998688697815, 0.6600000262260437]"
wed,21,for,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for,"[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]",[0.1599999964237213]
wed,22,encouraging,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging,"[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.11999999731779099, 0.18000000715255737]"
wed,23,awareness,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness,"[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.12999999523162842, 0.6299999952316284]"
wed,24,and,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and,"[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]",[0.5099999904632568]
wed,25,action,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action,"[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]",[0.46000000834465027]
wed,26,for,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for,"[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]",[0.1899999976158142]
wed,27,the,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the,"[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]",[0.27000001072883606]
wed,28,protection,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection,"[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]",[0.4000000059604645]
