text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
wed,21,for,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for,"[('World Environment Day | WED', 'conferred by', 'United Nations Environment Organization | United Nation'), ('World Environment Day', 'conferred by', 'United Nations Environment Organization | United Nation')]","[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]",[0.1599999964237213]
wed,24,and,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and,"[('World Environment Day', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]",[0.5099999904632568]
wed,38,been,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been","[('World Environment Day | it', 'start time', '--NME-- | 1974')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.9900000095367432, 0.949999988079071]"
wed,56,warming.,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming.","[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation'), ('World Environment Day', 'conferred by', 'United Nations | United Nation')]",[],[]
wed,90,and,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and","[('Overpopulation | human overpopulation', 'field of work', 'Climate change | global warming')]","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | it')]",[0.27000001072883606]
wed,93,adopt,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt","[('Overpopulation | human overpopulation', 'field of work', 'Climate change | global warming')]","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | it')]",[0.3499999940395355]
wed,101,theme,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | it')]",[],[]
wed,105,Beat,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018 is Beat","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED')]","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | it')]",[0.1899999976158142]
wed,107,Pollution.,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018 is Beat Plastic Pollution.","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED')]","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | it')]",[0.14000000059604645]
wed,109,goal,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018 is Beat Plastic Pollution. The goal","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | it')]",[],[]
