text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
orange,6,extract,Orange juice is a liquid extract,"[('Orange juice', 'instance of', 'Extract | liquid extract')]","[('Orange juice', 'instance of', 'Extract | liquid extract')]",[0.14000000059604645]
orange,9,orange,Orange juice is a liquid extract of the orange,"[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange')]",[1.0]
orange,10,tree,Orange juice is a liquid extract of the orange tree,"[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]",[1.0]
orange,12,produced,"Orange juice is a liquid extract of the orange tree fruit, produced","[('Orange juice', 'natural product of taxon', 'Orange Trees | orange tree')]","[('Orange juice', 'natural product of taxon', 'Orange Trees | orange tree')]",[0.8999999761581421]
orange,15,oranges.,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges.","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9599999785423279]"
orange,41,"taste,","Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste,","[('Orange (fruit) | orange tree', 'part of', 'Orange juice'), ('Orange (fruit) | oranges', 'part of', 'Orange juice')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange tree', 'part of', 'Orange juice'), ('Orange (fruit) | oranges', 'part of', 'Orange juice')]","[1.0, 1.0, 0.4699999988079071, 0.6600000262260437]"
orange,47,a,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a","[('Orange juice', 'natural product of taxon', 'Portulaca oleracea | orange tree'), ('Portulaca oleracea | orange tree', 'part of', 'Orange juice')]","[('Orange juice', 'natural product of taxon', 'Portulaca oleracea | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Portulaca oleracea | orange tree', 'part of', 'Orange juice'), ('Orange (fruit) | oranges', 'part of', 'Orange juice')]","[0.9900000095367432, 0.9900000095367432, 0.1899999976158142, 0.7200000286102295]"
orange,65,rehydrating,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating","[('Orange (fruit) | orange', 'part of', 'Orange juice')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange', 'part of', 'Orange juice'), ('Orange (fruit) | oranges', 'part of', 'Orange juice')]","[0.9900000095367432, 0.9700000286102295, 0.6399999856948853, 0.1899999976158142]"
orange,85,juice,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the juice, or by concentrating the juice and later adding water to the concentrate. The health value of orange juice","[('Orange juice', 'natural product of taxon', 'Orange oil | orange')]","[('Orange juice', 'natural product of taxon', 'Orange oil | orange')]",[0.5699999928474426]
orange,87,debatable:,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the juice, or by concentrating the juice and later adding water to the concentrate. The health value of orange juice is debatable:","[('Orange oil | orange', 'part of', 'Orange juice')]","[('Orange juice', 'natural product of taxon', 'Orange oil | orange'), ('Orange oil | orange', 'part of', 'Orange juice')]","[0.7200000286102295, 0.1899999976158142]"
orange,89,has,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the juice, or by concentrating the juice and later adding water to the concentrate. The health value of orange juice is debatable: it has","[('Orange juice | oranges', 'part of', 'Orange juice')]","[('Orange juice | oranges', 'part of', 'Orange juice')]",[0.25999999046325684]
orange,92,concentration,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the juice, or by concentrating the juice and later adding water to the concentrate. The health value of orange juice is debatable: it has a high concentration","[('Orange juice', 'natural product of taxon', 'Orange juice | orange'), ('Orange juice | orange', 'part of', 'Orange juice')]","[('Orange juice', 'natural product of taxon', 'Orange juice | orange'), ('Orange juice | orange', 'part of', 'Orange juice')]","[0.5299999713897705, 0.20999999344348907]"
orange,94,vitamin,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the juice, or by concentrating the juice and later adding water to the concentrate. The health value of orange juice is debatable: it has a high concentration of vitamin","[('Orange juice | orange', 'natural product of taxon', 'Orange oil | orange')]","[('Orange juice | oranges', 'part of', 'Orange juice'), ('Orange juice | orange', 'natural product of taxon', 'Orange oil | orange')]","[0.15000000596046448, 0.38999998569488525]"
orange,95,"C,","Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the juice, or by concentrating the juice and later adding water to the concentrate. The health value of orange juice is debatable: it has a high concentration of vitamin C,","[('Orange juice | orange', 'natural product of taxon', 'Orange juice | orange'), ('Vitamin C | vitamin C', 'found in taxon', 'Orange juice | orange')]","[('Orange juice', 'natural product of taxon', 'Orange juice | orange'), ('Orange juice | oranges', 'part of', 'Orange juice'), ('Orange juice | orange', 'natural product of taxon', 'Orange juice | orange'), ('Vitamin C | vitamin C', 'found in taxon', 'Orange juice | orange')]","[0.1599999964237213, 0.10999999940395355, 0.6899999976158142, 0.6299999952316284]"
orange,112,some,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the juice, or by concentrating the juice and later adding water to the concentrate. The health value of orange juice is debatable: it has a high concentration of vitamin C, but also a very high concentration of simple sugars, comparable to soft drinks. As a result, some","[('Orange soft drink | oranges', 'part of', 'Orange juice')]","[('Orange soft drink | oranges', 'part of', 'Orange juice')]",[0.4699999988079071]
orange,115,advice,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the juice, or by concentrating the juice and later adding water to the concentrate. The health value of orange juice is debatable: it has a high concentration of vitamin C, but also a very high concentration of simple sugars, comparable to soft drinks. As a result, some government nutritional advice","[('Vitamin C | vitamin C', 'found in taxon', 'Orange soft drink | orange')]","[('Vitamin C | vitamin C', 'found in taxon', 'Orange soft drink | orange')]",[0.33000001311302185]
