text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
beekeeping,17,The,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The","[('Colony of Bees | hives', 'facet of', 'Beekeeping')]","[('Colony of Bees | hives', 'natural product of taxon', 'Bee | bee')]",[0.3799999952316284]
beekeeping,19,most,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most","[('Colony of Bees | hives', 'found in taxon', 'Bee | bee'), ('Colony of Bees | hives', 'natural product of taxon', 'Bee | bee')]","[('Colony (biology) | hives', 'natural product of taxon', 'Bee | bee')]",[0.14000000059604645]
beekeeping,20,commonly,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly","[('Colony (biology) | hives', 'natural product of taxon', 'Bee | bee')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'facet of', 'Beekeeping'), ('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'found in taxon', 'Bee | bee')]","[0.15000000596046448, 0.14000000059604645, 0.5099999904632568, 0.23000000417232513]"
beekeeping,24,colonies,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'facet of', 'Beekeeping'), ('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'used by', 'Bee | bee'), ('Hives | hives', 'found in taxon', 'Bee | bee')]","[('Colony (biology) | hives', 'used by', 'Beekeeping'), ('Colony (biology) | hives', 'natural product of taxon', 'Bee | bee')]","[0.10000000149011612, 0.12999999523162842]"
beekeeping,26,honey,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey","[('Colony (biology) | hives', 'natural product of taxon', 'Bee | bee'), ('Colony (biology) | hives', 'used by', 'Beekeeping')]","[('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'found in taxon', 'Bee | bee'), ('Honey | honey', 'natural product of taxon', 'Bee | bee'), ('Honey | honey', 'natural product of taxon', 'Bee | bee')]","[0.27000001072883606, 0.14000000059604645, 0.3400000035762787, 0.9700000286102295]"
beekeeping,27,bees.,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees.","[('Honey | honey', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'found in taxon', 'Bee | bee')]","[('Hives | hives', 'natural product of taxon', 'Bee | bee')]",[0.10999999940395355]
beekeeping,29,beekeeper,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper","[('Hives | hives', 'natural product of taxon', 'Bee | bee')]","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[0.36000001430511475, 0.10999999940395355]"
beekeeping,30,maintains,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains","[('Hives | hives', 'used by', 'Beekeeping'), ('Hives | hives', 'has use', 'Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Hives | hives', 'natural product of taxon', 'Bee | bee')]","[0.2800000011920929, 0.10000000149011612]"
beekeeping,34,order,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order","[('Hives | hives', 'natural product of taxon', 'Bee | bee')]","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping')]",[0.27000001072883606]
beekeeping,39,and,"Beekeeping is the maintenance of bee colonies by humans, typically with the use of man-made hives. The species most commonly used in bee colonies are honey bees. A beekeeper maintains these colonies in order to collect the honey and","[('--NME-- | colonies', 'used by', 'Beekeeper | Beekeeping')]","[('Hives | hives', 'used by', 'Beekeeper | Beekeeping'), ('Hives | hives', 'natural product of taxon', 'Bee | bee'), ('Hives | hives', 'subclass of', '--NME-- | colonies'), ('Hives | hives', 'used by', '--NME-- | colonies')]","[0.23000000417232513, 0.18000000715255737, 0.23000000417232513, 0.1899999976158142]"
