text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
orange,7,of,Orange juice is a liquid extract of,"[('Orange juice', 'instance of', 'Extract | liquid extract')]",[],[]
orange,10,tree,Orange juice is a liquid extract of the orange tree,"[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]",[1.0]
orange,11,"fruit,","Orange juice is a liquid extract of the orange tree fruit,","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]",[],[]
orange,13,by,"Orange juice is a liquid extract of the orange tree fruit, produced by","[('Orange juice', 'natural product of taxon', 'Orange Trees | orange tree')]",[],[]
orange,30,and,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]",[1.0]
orange,32,the,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 1.0]"
orange,33,oxygen,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 1.0]"
orange,47,a,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a","[('Orange (fruit) | orange tree', 'part of', 'Orange juice'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]","[('Orange juice', 'natural product of taxon', 'Portulaca oleracea | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Portulaca oleracea | orange tree', 'part of', 'Orange juice'), ('Orange (fruit) | oranges', 'part of', 'Orange juice')]","[0.9900000095367432, 0.9900000095367432, 0.1899999976158142, 0.7200000286102295]"
orange,48,flavor,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor","[('Orange juice', 'natural product of taxon', 'Portulaca oleracea | orange tree'), ('Portulaca oleracea | orange tree', 'part of', 'Orange juice')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange tree', 'part of', 'Orange juice'), ('Orange (fruit) | oranges', 'part of', 'Orange juice')]","[1.0, 1.0, 0.3499999940395355, 0.75]"
orange,65,rehydrating,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating","[('Orange (fruit) | orange tree', 'part of', 'Orange juice'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange', 'part of', 'Orange juice'), ('Orange (fruit) | oranges', 'part of', 'Orange juice')]","[0.9900000095367432, 0.9700000286102295, 0.6399999856948853, 0.1899999976158142]"
orange,66,the,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the","[('Orange (fruit) | orange', 'part of', 'Orange juice'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange'), ('Orange (fruit) | oranges', 'part of', 'Orange juice')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange tree', 'part of', 'Orange juice')]","[0.9900000095367432, 0.9900000095367432, 0.1899999976158142]"
orange,68,or,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the juice, or","[('Orange (fruit) | orange tree', 'part of', 'Orange juice'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange', 'part of', 'Orange juice')]","[0.9800000190734863, 0.949999988079071, 0.4699999988079071]"
