text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
orange,6,extract,Orange juice is a liquid extract,"[('Orange juice', 'has use', 'Extract | liquid extract')]","[('Orange juice', 'has use', 'Extract | liquid extract')]",[0.9100000262260437]
orange,7,of,Orange juice is a liquid extract of,"[('Orange juice', 'has use', 'Liquid | liquid')]","[('Orange juice', 'has use', 'Liquid | liquid')]",[0.7900000214576721]
orange,10,tree,Orange juice is a liquid extract of the orange tree,"[('Orange juice', 'found in taxon', '--NME-- | orange tree'), ('Orange juice', 'natural product of taxon', '--NME-- | orange tree')]","[('Orange juice', 'natural product of taxon', '--NME-- | orange tree'), ('Orange juice', 'found in taxon', '--NME-- | orange tree')]","[0.20000000298023224, 0.6399999856948853]"
orange,11,"fruit,","Orange juice is a liquid extract of the orange tree fruit,","[('Orange juice', 'instance of', 'Extract | liquid extract'), ('Orange juice', 'found in taxon', 'Orange (fruit) | orange tree')]","[('Orange juice', 'instance of', 'Extract | liquid extract'), ('Orange juice', 'found in taxon', 'Orange (fruit) | orange tree')]","[0.6100000143051147, 0.8100000023841858]"
orange,13,by,"Orange juice is a liquid extract of the orange tree fruit, produced by","[('Orange juice', 'found in taxon', 'Orange Trees | orange tree')]","[('Orange juice', 'instance of', 'Extract | liquid extract'), ('Orange juice', 'found in taxon', 'Orange Trees | orange tree')]","[0.6899999976158142, 0.5199999809265137]"
orange,15,oranges.,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges.","[('Orange juice', 'found in taxon', 'Fruit | oranges'), ('Orange juice', 'instance of', 'Fruit preserves | liquid extract'), ('Orange juice', 'has use', 'Fruit preserves | liquid extract'), ('--NME-- | orange tree', 'part of', 'Fruit | oranges'), ('Fruit | oranges', 'part of', '--NME-- | orange tree'), ('Fruit | oranges', 'natural product of taxon', '--NME-- | orange tree')]","[('Orange juice', 'has use', 'Fruit preserves | liquid extract'), ('Orange juice', 'instance of', 'Fruit preserves | liquid extract'), ('Orange juice', 'found in taxon', '--NME-- | orange tree'), ('Orange juice', 'found in taxon', 'Fruit | oranges'), ('--NME-- | orange tree', 'part of', 'Fruit | oranges'), ('Fruit | oranges', 'natural product of taxon', '--NME-- | orange tree'), ('Fruit | oranges', 'part of', '--NME-- | orange tree')]","[0.699999988079071, 0.5799999833106995, 0.4000000059604645, 0.33000001311302185, 0.2800000011920929, 0.3400000035762787, 0.11999999731779099]"
orange,16,Commercial,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial","[('Fruit | oranges', 'part of', 'Fruit tree | orange tree'), ('Fruit | oranges', 'natural product of taxon', 'Fruit tree | orange tree'), ('Fruit tree | orange tree', 'subclass of', 'Fruit | oranges'), ('Fruit tree | orange tree', 'part of', 'Fruit | oranges'), ('Orange juice', 'instance of', 'Extract | extract')]","[('Orange juice', 'has use', 'Liquid | liquid'), ('Orange juice', 'instance of', 'Extract | extract'), ('Fruit tree | orange tree', 'subclass of', 'Fruit | oranges'), ('Fruit tree | orange tree', 'part of', 'Fruit | oranges'), ('Fruit | oranges', 'natural product of taxon', 'Fruit tree | orange tree'), ('Fruit | oranges', 'part of', 'Fruit tree | orange tree')]","[0.41999998688697815, 0.5699999928474426, 0.10000000149011612, 0.25, 0.5199999809265137, 0.1599999964237213]"
orange,17,orange,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange","[('Orange juice', 'found in taxon', 'Fruit tree | orange tree'), ('Orange (fruit) | oranges', 'natural product of taxon', 'Fruit tree | orange tree'), ('Orange (fruit) | oranges', 'part of', 'Fruit tree | orange tree')]","[('Orange juice', 'has use', 'Liquid | liquid'), ('Orange juice', 'found in taxon', 'Fruit tree | orange tree'), ('Orange (fruit) | oranges', 'natural product of taxon', 'Fruit tree | orange tree'), ('Orange (fruit) | oranges', 'part of', 'Fruit tree | orange tree')]","[0.550000011920929, 0.1599999964237213, 0.6000000238418579, 0.14000000059604645]"
orange,18,juice,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice","[('Orange juice', 'natural product of taxon', 'Fruit tree | orange tree'), ('--NME-- | squeezing oranges', 'natural product of taxon', 'Fruit tree | orange tree'), ('Orange juice', 'has use', '--NME-- | squeezing oranges'), ('Orange (fruit) | orange', 'natural product of taxon', 'Fruit tree | orange tree')]","[('Orange juice', 'has use', 'Liquid | liquid'), ('Orange juice', 'natural product of taxon', 'Fruit tree | orange tree'), ('Orange juice', 'found in taxon', 'Fruit tree | orange tree'), ('Orange juice', 'has use', '--NME-- | squeezing oranges'), ('--NME-- | squeezing oranges', 'natural product of taxon', 'Fruit tree | orange tree'), ('Orange (fruit) | orange', 'natural product of taxon', 'Fruit tree | orange tree')]","[0.6899999976158142, 0.15000000596046448, 0.2800000011920929, 0.3199999928474426, 0.1599999964237213, 0.28999999165534973]"
orange,20,a,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a","[('Orange juice', 'has use', 'Fruit tree | squeezing oranges'), ('Orange juice', 'subclass of', 'Extract | extract')]","[('Orange juice', 'has use', 'Liquid | liquid'), ('Orange juice', 'subclass of', 'Extract | extract'), ('Orange juice', 'instance of', 'Extract | extract'), ('Orange juice', 'has use', 'Fruit tree | squeezing oranges')]","[0.6499999761581421, 0.11999999731779099, 0.46000000834465027, 0.17000000178813934]"
