text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
flag,11,a,A national flag is a flag which represents and symbolizes a,"[('National flag | national flag', 'instance of', 'Flag | flag')]","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.10999999940395355]
flag,19,by,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by,"[('National flag | national flag', 'subclass of', 'Flag | flag')]","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.7699999809265137]
flag,80,century.,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century.","[('--NME-- | government', 'facet of', 'Flag | flag')]","[('National flag | national flag', 'subclass of', 'Flag | flag'), ('--NME-- | government', 'facet of', 'Flag | flag')]","[0.6399999856948853, 0.10000000149011612]"
flag,94,"rectangular,","A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular,","[('Country | country', 'foundational text', '--NME-- | constitution'), ('Country | country', 'main regulatory text', '--NME-- | constitution'), ('Country | country', 'basic form of government', '--NME-- | constitution')]","[('National flag | national flag', 'subclass of', 'Flag | flag'), ('Country | country', 'main regulatory text', '--NME-- | constitution'), ('Country | country', 'basic form of government', '--NME-- | constitution'), ('Country | country', 'foundational text', '--NME-- | constitution')]","[0.5199999809265137, 0.800000011920929, 0.15000000596046448, 0.7599999904632568]"
flag,100,"Nepal,","A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal,","[('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'subclass of', '--NME-- | flag')]","[('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'subclass of', '--NME-- | flag')]","[0.44999998807907104, 0.1899999976158142]"
flag,108,ratios,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios","[('Flag of Nepal | flag of Nepal', 'subclass of', 'Symbol | flag'), ('Flag of Nepal | flag of Nepal', 'instance of', 'Symbol | flag')]","[('Flag of Nepal | flag of Nepal', 'instance of', 'Symbol | flag'), ('Flag of Nepal | flag of Nepal', 'subclass of', 'Symbol | flag')]","[0.5299999713897705, 0.11999999731779099]"
flag,116,rectangular,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width vary among standard rectangular","[('Flag of Nepal | national flag', 'instance of', '--NME-- | flag'), ('Flag of Nepal | national flag', 'subclass of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'subclass of', 'Flag of Nepal | national flag'), ('Flag of Nepal | flag of Nepal', 'instance of', 'Flag of Nepal | national flag')]","[('Flag of Nepal | national flag', 'instance of', '--NME-- | flag'), ('Flag of Nepal | national flag', 'subclass of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'instance of', 'Flag of Nepal | national flag'), ('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'subclass of', 'Flag of Nepal | national flag'), ('Flag of Nepal | flag of Nepal', 'subclass of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'subclass of', '--NME-- | flag')]","[0.4399999976158142, 0.5899999737739563, 0.30000001192092896, 0.49000000953674316, 0.5400000214576721, 0.3799999952316284, 0.14000000059604645, 0.17000000178813934]"
flag,117,"flags,","A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width vary among standard rectangular flags,","[('Nepal | its citizens', 'flag', 'Flag of Nepal | flag of Nepal')]","[('Nepal | its citizens', 'flag', 'Flag of Nepal | flag of Nepal'), ('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'subclass of', '--NME-- | flag')]","[0.11999999731779099, 0.5400000214576721, 0.17000000178813934]"
flag,118,but,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width vary among standard rectangular flags, but","[('Government of Nepal | government of a country', 'flag', 'Flag of Nepal | flag of Nepal')]","[('Government of Nepal | government of a country', 'flag', 'Flag of Nepal | flag of Nepal'), ('Nepal | its citizens', 'flag', 'Flag of Nepal | flag of Nepal'), ('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'subclass of', '--NME-- | flag')]","[0.6100000143051147, 0.10000000149011612, 0.5400000214576721, 0.17000000178813934]"
flag,120,is,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width vary among standard rectangular flags, but none is","[('Nepal | its citizens', 'flag', 'Flag of Nepal | national flag'), ('Government of Nepal | government of a country', 'flag', 'Flag of Nepal | national flag')]","[('Government of Nepal | government of a country', 'flag', 'Flag of Nepal | national flag'), ('Government of Nepal | government of a country', 'flag', 'Flag of Nepal | flag of Nepal'), ('Nepal | its citizens', 'flag', 'Flag of Nepal | national flag'), ('Nepal | its citizens', 'flag', 'Flag of Nepal | flag of Nepal'), ('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'subclass of', '--NME-- | flag')]","[0.6100000143051147, 0.7099999785423279, 0.20000000298023224, 0.10000000149011612, 0.5400000214576721, 0.17000000178813934]"
