text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
wed,1,World,no,World,[],[]
wed,2,Environment,no,World Environment,[],[]
wed,3,Day,no,World Environment Day,[],[]
wed,4,(WED),no,World Environment Day (WED),[],[]
wed,5,is,no,World Environment Day (WED) is,[],[]
wed,6,celebrated,no,World Environment Day (WED) is celebrated,[],[]
wed,7,on,no,World Environment Day (WED) is celebrated on,[],[]
wed,8,the,no,World Environment Day (WED) is celebrated on the,[],[]
wed,9,fifth,no,World Environment Day (WED) is celebrated on the fifth,[],[]
wed,10,of,no,World Environment Day (WED) is celebrated on the fifth of,[],[]
wed,11,June,no,World Environment Day (WED) is celebrated on the fifth of June,[],[]
wed,12,every,no,World Environment Day (WED) is celebrated on the fifth of June every,[],[]
wed,13,year,no,World Environment Day (WED) is celebrated on the fifth of June every year,[],[]
wed,14,and,no,World Environment Day (WED) is celebrated on the fifth of June every year and,[],[]
wed,15,is,no,World Environment Day (WED) is celebrated on the fifth of June every year and is,[],[]
wed,16,the,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the,[],[]
wed,17,United,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United,[],[]
wed,18,Nation's,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's,[],[]
wed,19,principal,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal,"[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.18000000715255737, 0.17000000178813934]"
wed,20,vehicle,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle,"[('World Environment Day', 'conferred by', 'United Nations Environment Programme | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations Environment Programme | United Nation')]","[0.5299999713897705, 0.550000011920929]"
wed,21,for,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for,"[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.4000000059604645, 0.3199999928474426]"
wed,22,encouraging,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging,"[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.38999998569488525, 0.2800000011920929]"
wed,23,awareness,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness,"[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.25999999046325684, 0.2199999988079071]"
wed,24,and,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and,"[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Wildlife Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.3799999952316284, 0.36000001430511475]"
wed,25,action,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action,"[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.28999999165534973, 0.25999999046325684]"
wed,26,for,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for,"[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Wildlife Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.30000001192092896, 0.3100000023841858]"
