text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
orange,1,Orange,no,Orange,[],[]
orange,2,juice,no,Orange juice,[],[]
orange,3,is,no,Orange juice is,[],[]
orange,4,a,no,Orange juice is a,[],[]
orange,5,liquid,no,Orange juice is a liquid,[],[]
orange,6,extract,no,Orange juice is a liquid extract,[],[]
orange,7,of,no,Orange juice is a liquid extract of,[],[]
orange,8,the,no,Orange juice is a liquid extract of the,[],[]
orange,9,orange,yes,Orange juice is a liquid extract of the orange,"[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange')]",[1.0]
orange,10,tree,yes,Orange juice is a liquid extract of the orange tree,"[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]",[0.9900000095367432]
orange,11,"fruit,",no,"Orange juice is a liquid extract of the orange tree fruit,","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]",[1.0]
orange,12,produced,yes,"Orange juice is a liquid extract of the orange tree fruit, produced",[],[]
orange,13,by,no,"Orange juice is a liquid extract of the orange tree fruit, produced by",[],[]
orange,14,squeezing,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing",[],[]
orange,15,oranges.,yes,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges.","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.949999988079071]"
orange,16,Commercial,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9900000095367432]"
orange,17,orange,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9900000095367432]"
orange,18,juice,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 1.0]"
orange,19,with,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9900000095367432]"
orange,20,a,yes,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange tree', 'instance of', 'Fruit | fruit'), ('Orange (fruit) | oranges', 'instance of', 'Fruit | fruit')]","[0.9900000095367432, 0.9700000286102295, 0.3700000047683716, 0.10000000149011612]"
orange,21,long,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange tree', 'instance of', 'Fruit | fruit'), ('Orange (fruit) | oranges', 'instance of', 'Fruit | fruit')]","[1.0, 1.0, 0.41999998688697815, 0.12999999523162842]"
orange,22,shelf,yes,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[0.9900000095367432, 0.9800000190734863]"
orange,23,life,yes,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]",[1.0]
orange,24,is,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]",[1.0]
orange,25,made,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]",[1.0]
