text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
wed,1,World,no,World,[],[]
wed,2,Environment,no,World Environment,[],[]
wed,3,Day,no,World Environment Day,[],[]
wed,4,(WED),no,World Environment Day (WED),[],[]
wed,5,is,no,World Environment Day (WED) is,[],[]
wed,6,celebrated,no,World Environment Day (WED) is celebrated,[],[]
wed,7,on,no,World Environment Day (WED) is celebrated on,[],[]
wed,8,the,no,World Environment Day (WED) is celebrated on the,[],[]
wed,9,fifth,no,World Environment Day (WED) is celebrated on the fifth,[],[]
wed,10,of,no,World Environment Day (WED) is celebrated on the fifth of,[],[]
wed,11,June,no,World Environment Day (WED) is celebrated on the fifth of June,[],[]
wed,12,every,no,World Environment Day (WED) is celebrated on the fifth of June every,[],[]
wed,13,year,no,World Environment Day (WED) is celebrated on the fifth of June every year,[],[]
wed,14,and,no,World Environment Day (WED) is celebrated on the fifth of June every year and,[],[]
wed,15,is,no,World Environment Day (WED) is celebrated on the fifth of June every year and is,[],[]
wed,16,the,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the,[],[]
wed,17,United,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United,[],[]
wed,18,Nation's,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's,[],[]
wed,19,principal,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal,"[('World Environment Day', 'country', '--NME-- | United Nation'), ('World Environment Day | WED', 'country', '--NME-- | United Nation'), ('--NME-- | United Nation', 'significant event', 'World Environment Day')]","[0.9700000286102295, 0.6200000047683716, 0.27000001072883606]"
wed,20,vehicle,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle,"[('World Environment Day', 'conferred by', '--NME-- | United Nation'), ('World Environment Day | WED', 'conferred by', '--NME-- | United Nation')]","[0.14000000059604645, 0.18000000715255737]"
wed,21,for,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for,[],[]
wed,22,encouraging,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging,[],[]
wed,23,awareness,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness,"[('World Environment Day', 'country', '--NME-- | United Nation')]",[0.18000000715255737]
wed,24,and,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and,[],[]
wed,25,action,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action,"[('World Environment Day', 'country', '--NME-- | United Nation'), ('World Environment Day', 'conferred by', '--NME-- | United Nation'), ('World Environment Day | WED', 'conferred by', '--NME-- | United Nation')]","[0.3400000035762787, 0.18000000715255737, 0.3499999940395355]"
wed,26,for,yes,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for,[],[]
wed,27,the,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the,[],[]
wed,28,protection,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection,[],[]
wed,29,of,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of,[],[]
wed,30,the,no,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the,[],[]
