text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
wed,20,vehicle,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle,"[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation'), ('World Environment Day', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations Environment Programme | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations Environment Programme | United Nation')]","[0.5299999713897705, 0.550000011920929]"
wed,21,for,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for,"[('World Environment Day | WED', 'conferred by', 'United Nations Environment Programme | United Nation'), ('World Environment Day', 'conferred by', 'United Nations Environment Programme | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.4000000059604645, 0.3199999928474426]"
wed,24,and,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and,"[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Wildlife Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.3799999952316284, 0.36000001430511475]"
wed,25,action,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action,"[('World Wildlife Day | WED', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.28999999165534973, 0.25999999046325684]"
wed,26,for,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for,"[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Wildlife Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.30000001192092896, 0.3100000023841858]"
wed,27,the,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the,"[('World Wildlife Day | WED', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.30000001192092896, 0.2199999988079071]"
wed,28,protection,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection,"[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Wildlife Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.3400000035762787, 0.30000001192092896]"
wed,31,environment.,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment.,"[('World Wildlife Day | WED', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.46000000834465027, 0.3199999928474426]"
wed,52,human,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human","[('Marine pollution | marine pollution', 'statement is subject of', 'World Environment Day'), ('Marine pollution | marine pollution', 'statement is subject of', 'World Environment Day | WED')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.44999998807907104, 0.2199999988079071]"
wed,54,and,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and","[('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'subclass of', 'Human overpopulation | human overpopulation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.6200000047683716, 0.38999998569488525]"
wed,56,warming.,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming.","[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation'), ('World Environment Day', 'conferred by', 'United Nations | United Nation')]",[],[]
wed,58,has,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day')]","[('United Nations | United Nation', 'significant event', 'World Environment Day | WED')]",[0.11999999731779099]
wed,62,a,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a","[('United Nations | United Nation', 'statement is subject of', 'World Environment Day')]","[('United Nations | United Nation', 'significant event', 'World Environment Day | WED'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED')]","[0.14000000059604645, 0.14000000059604645, 0.2199999988079071, 0.10000000149011612]"
wed,65,for,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('United Nations | United Nation', 'statement is subject of', 'World Environment Day')]","[('United Nations | United Nation', 'significant event', 'World Environment Day | WED'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day')]","[0.18000000715255737, 0.14000000059604645, 0.23999999463558197]"
wed,68,with,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with","[('United Nations | United Nation', 'significant event', 'World Environment Day | WED')]","[('United Nations | United Nation', 'statement is subject of', 'World Environment Day'), ('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day')]","[0.12999999523162842, 0.17000000178813934, 0.28999999165534973]"
wed,73,hundred,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred","[('United Nations | United Nation', 'statement is subject of', 'World Environment Day')]","[('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day')]","[0.17000000178813934, 0.30000001192092896]"
wed,75,annually.,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually.","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED'), ('United Nations | United Nation', 'statement is subject of', 'World Environment Day')]","[('Human overpopulation | human overpopulation', 'statement is subject of', 'World Environment Day'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day')]","[0.14000000059604645, 0.23000000417232513]"
