text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
vehicle,15,for,A vehicle registration plate is a metal or plastic plate attached to a vehicle for,"[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plate (dishware) | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plate (dishware) | plate')]",[0.3499999940395355]
vehicle,20,countries,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries,"[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plastic | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plastic | plate')]",[0.27000001072883606]
vehicle,21,require,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require,"[('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate')]",[0.28999999165534973]
vehicle,30,"trucks,","A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks,","[('Vehicle registration plate | registration plates', 'subclass of', 'Plastic | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plastic | plate'), ('Vehicle registration plate | registration plates', 'subclass of', 'Plastic | plate')]","[0.3199999928474426, 0.2199999988079071]"
vehicle,31,and,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and","[('Vehicle registration plate | registration plates', 'subclass of', '--NME-- | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate'), ('Vehicle registration plate | registration plates', 'subclass of', '--NME-- | plate')]","[0.3100000023841858, 0.20999999344348907]"
vehicle,34,they,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | plate')]",[0.3199999928474426]
vehicle,69,region's,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for other vehicles, such as bicycles, boats, or tractors, may vary by jurisdiction. The registration identifier is a series of letters and digits that uniquely identifies the vehicle owner within the issuing region's","[('Vehicle registration plate | vehicle registration plate', 'instance of', 'Vehicle registration plate | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | vehicle registration plate', 'instance of', 'Vehicle registration plate | plate')]","[0.46000000834465027, 0.10999999940395355]"
vehicle,70,vehicle,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for other vehicles, such as bicycles, boats, or tractors, may vary by jurisdiction. The registration identifier is a series of letters and digits that uniquely identifies the vehicle owner within the issuing region's vehicle","[('Vehicle registration plate | vehicle registration plate', 'instance of', '--NME-- | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate'), ('Vehicle registration plate | vehicle registration plate', 'instance of', '--NME-- | plate')]","[0.41999998688697815, 0.11999999731779099]"
vehicle,71,register.,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for other vehicles, such as bicycles, boats, or tractors, may vary by jurisdiction. The registration identifier is a series of letters and digits that uniquely identifies the vehicle owner within the issuing region's vehicle register.","[('Vehicle registration plate | registration plates', 'facet of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | registration plates', 'subclass of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | registration plates')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | registration plates'), ('Vehicle registration plate | registration plates', 'subclass of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | registration plates', 'facet of', 'Vehicle registration plate | plate')]","[0.5600000023841858, 0.10999999940395355, 0.23999999463558197, 0.11999999731779099]"
vehicle,73,some,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for other vehicles, such as bicycles, boats, or tractors, may vary by jurisdiction. The registration identifier is a series of letters and digits that uniquely identifies the vehicle owner within the issuing region's vehicle register. In some","[('Vehicle registration plate | vehicle registration plate', 'facet of', 'Vehicle registration plate | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | vehicle registration plate', 'facet of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | registration plates', 'subclass of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | registration plates', 'facet of', 'Vehicle registration plate | plate')]","[0.47999998927116394, 0.10999999940395355, 0.20999999344348907, 0.15000000596046448]"
vehicle,76,identifier,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for other vehicles, such as bicycles, boats, or tractors, may vary by jurisdiction. The registration identifier is a series of letters and digits that uniquely identifies the vehicle owner within the issuing region's vehicle register. In some countries, the identifier","[('Vehicle registration plate | vehicle registration plate', 'facet of', 'Identification (information) | identification')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate'), ('Vehicle registration plate | vehicle registration plate', 'facet of', 'Identification (information) | identification')]","[0.5199999809265137, 0.1599999964237213]"
