text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
orange,10,tree,Orange juice is a liquid extract of the orange tree,"[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]",[0.9900000095367432]
orange,12,produced,"Orange juice is a liquid extract of the orange tree fruit, produced","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]",[],[]
orange,22,shelf,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf","[('Orange (fruit) | oranges', 'instance of', 'Fruit | fruit'), ('Orange (fruit) | orange tree', 'instance of', 'Fruit | fruit')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[0.9900000095367432, 0.9800000190734863]"
orange,23,life,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]",[1.0]
orange,28,the,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange (fruit) | orange tree', 'instance of', 'Fruit | fruit')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange', 'subclass of', 'Fruit | fruit'), ('Orange (fruit) | orange', 'instance of', 'Fruit | fruit'), ('Orange (fruit) | oranges', 'instance of', 'Fruit | fruit')]","[1.0, 0.9900000095367432, 0.14000000059604645, 0.75, 0.7900000214576721]"
orange,29,juice,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange'), ('Orange (fruit) | orange', 'instance of', 'Fruit | fruit'), ('Orange (fruit) | orange', 'subclass of', 'Fruit | fruit'), ('Orange (fruit) | oranges', 'instance of', 'Fruit | fruit')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9800000190734863]"
orange,32,the,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange (fruit) | orange tree', 'instance of', 'Fruit | fruit')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange', 'instance of', 'Fruit | fruit'), ('Orange (fruit) | oranges', 'instance of', 'Fruit | fruit')]","[0.9900000095367432, 0.8999999761581421, 0.7799999713897705, 0.7200000286102295]"
orange,33,oxygen,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange'), ('Orange (fruit) | oranges', 'instance of', 'Fruit | fruit'), ('Orange (fruit) | orange', 'instance of', 'Fruit | fruit')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9900000095367432]"
orange,39,of,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of","[('Orange (fruit) | oranges', 'instance of', 'Fruit | fruit'), ('Orange (fruit) | orange tree', 'instance of', 'Fruit | fruit')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9900000095367432]"
orange,41,"taste,","Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste,","[('Orange (fruit) | oranges', 'instance of', 'Fruit | fruit'), ('Orange (fruit) | orange tree', 'instance of', 'Fruit | fruit')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9900000095367432]"
