text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
orange,9,orange,Orange juice is a liquid extract of the orange,"[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange')]",[1.0]
orange,10,tree,Orange juice is a liquid extract of the orange tree,"[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]",[0.9900000095367432]
orange,15,oranges.,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges.","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.949999988079071]"
orange,20,a,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a","[('Orange (fruit) | oranges', 'instance of', 'Fruit | fruit'), ('Orange (fruit) | orange tree', 'instance of', 'Fruit | fruit')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange tree', 'instance of', 'Fruit | fruit'), ('Orange (fruit) | oranges', 'instance of', 'Fruit | fruit')]","[0.9900000095367432, 0.9700000286102295, 0.3700000047683716, 0.10000000149011612]"
orange,28,the,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the","[('Orange (fruit) | orange', 'instance of', 'Fruit | fruit'), ('Orange (fruit) | orange', 'subclass of', 'Fruit | fruit')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange', 'subclass of', 'Fruit | fruit'), ('Orange (fruit) | orange', 'instance of', 'Fruit | fruit'), ('Orange (fruit) | oranges', 'instance of', 'Fruit | fruit')]","[1.0, 0.9900000095367432, 0.14000000059604645, 0.75, 0.7900000214576721]"
orange,49,"pack,","Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack,","[('Orange juice', 'subclass of', 'Extract | extract')]","[('Orange juice', 'subclass of', 'Extract | extract')]",[0.10999999940395355]
orange,54,products.,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products.","[('Orange juice', 'natural product of taxon', 'Orange juice | orange')]","[('Orange juice', 'subclass of', 'Extract | extract'), ('Orange juice', 'natural product of taxon', 'Orange juice | orange')]","[0.10999999940395355, 0.6499999761581421]"
orange,60,processed,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed","[('Orange (fruit) | orange', 'part of', 'Orange juice')]","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange', 'part of', 'Orange juice')]","[0.9900000095367432, 0.9399999976158142, 0.1899999976158142]"
orange,61,by,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by","[('Orange (fruit) | oranges', 'part of', 'Orange juice')]","[('Orange juice', 'subclass of', 'Extract | extract'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges'), ('Orange (fruit) | orange', 'part of', 'Orange juice'), ('Orange (fruit) | oranges', 'part of', 'Orange juice')]","[0.12999999523162842, 0.9900000095367432, 0.9399999976158142, 0.25, 0.12999999523162842]"
orange,87,debatable:,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the juice, or by concentrating the juice and later adding water to the concentrate. The health value of orange juice is debatable:","[('Orange juice | orange', 'natural product of taxon', 'Orange juice | orange')]","[('Orange juice', 'natural product of taxon', 'Orange juice | orange'), ('Orange juice | orange', 'natural product of taxon', 'Orange juice | orange')]","[0.8299999833106995, 0.11999999731779099]"
orange,90,a,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the juice, or by concentrating the juice and later adding water to the concentrate. The health value of orange juice is debatable: it has a","[('Orange juice | orange', 'part of', 'Orange juice'), ('Orange juice | orange', 'natural product of taxon', '--NME-- | orange'), ('Orange juice | oranges', 'part of', 'Orange juice')]","[('Orange juice', 'natural product of taxon', 'Orange juice | orange'), ('Orange juice | orange', 'part of', 'Orange juice'), ('Orange juice | oranges', 'part of', 'Orange juice'), ('Orange juice | orange', 'natural product of taxon', '--NME-- | orange')]","[0.4399999976158142, 0.12999999523162842, 0.11999999731779099, 0.23000000417232513]"
orange,95,"C,","Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the juice, or by concentrating the juice and later adding water to the concentrate. The health value of orange juice is debatable: it has a high concentration of vitamin C,","[('Vitamin C | vitamin C', 'found in taxon', 'Orange juice | orange'), ('Orange juice | orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange', 'natural product of taxon', 'Orange juice | orange')]","[('Orange juice', 'natural product of taxon', 'Orange juice | orange'), ('Orange juice | orange', 'natural product of taxon', 'Orange juice | orange'), ('Orange juice | orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange', 'natural product of taxon', 'Orange juice | orange'), ('Vitamin C | vitamin C', 'found in taxon', 'Orange juice | orange')]","[0.36000001430511475, 0.4300000071525574, 0.3199999928474426, 0.49000000953674316]"
