text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
vehicle,16,official,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official,"[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plate (dishware) | plate')]",[],[]
vehicle,21,require,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require,"[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plastic | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate')]",[0.28999999165534973]
vehicle,22,registration,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration,"[('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate')]",[],[]
vehicle,30,"trucks,","A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks,","[('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plastic | plate'), ('Vehicle registration plate | registration plates', 'subclass of', 'Plastic | plate')]","[0.3199999928474426, 0.2199999988079071]"
vehicle,31,and,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plastic | plate'), ('Vehicle registration plate | registration plates', 'subclass of', 'Plastic | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate'), ('Vehicle registration plate | registration plates', 'subclass of', '--NME-- | plate')]","[0.3100000023841858, 0.20999999344348907]"
vehicle,32,motorcycles.,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles.","[('Vehicle registration plate | registration plates', 'subclass of', '--NME-- | plate'), ('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate')]",[],[]
vehicle,36,required,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | plate')]",[],[]
vehicle,58,and,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for other vehicles, such as bicycles, boats, or tractors, may vary by jurisdiction. The registration identifier is a series of letters and","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plastic | plate')]",[],[]
vehicle,69,region's,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for other vehicles, such as bicycles, boats, or tractors, may vary by jurisdiction. The registration identifier is a series of letters and digits that uniquely identifies the vehicle owner within the issuing region's","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plastic | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | vehicle registration plate', 'instance of', 'Vehicle registration plate | plate')]","[0.46000000834465027, 0.10999999940395355]"
vehicle,70,vehicle,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for other vehicles, such as bicycles, boats, or tractors, may vary by jurisdiction. The registration identifier is a series of letters and digits that uniquely identifies the vehicle owner within the issuing region's vehicle","[('Vehicle registration plate | vehicle registration plate', 'instance of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate'), ('Vehicle registration plate | vehicle registration plate', 'instance of', '--NME-- | plate')]","[0.41999998688697815, 0.11999999731779099]"
vehicle,71,register.,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for other vehicles, such as bicycles, boats, or tractors, may vary by jurisdiction. The registration identifier is a series of letters and digits that uniquely identifies the vehicle owner within the issuing region's vehicle register.","[('Vehicle registration plate | vehicle registration plate', 'instance of', '--NME-- | plate'), ('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | registration plates'), ('Vehicle registration plate | registration plates', 'subclass of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | registration plates', 'facet of', 'Vehicle registration plate | plate')]","[0.5600000023841858, 0.10999999940395355, 0.23999999463558197, 0.11999999731779099]"
vehicle,72,In,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for other vehicles, such as bicycles, boats, or tractors, may vary by jurisdiction. The registration identifier is a series of letters and digits that uniquely identifies the vehicle owner within the issuing region's vehicle register. In","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | registration plates')]","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | registration plates', 'subclass of', 'Vehicle registration plate | plate'), ('Vehicle registration plate | registration plates', 'facet of', 'Vehicle registration plate | plate')]","[0.47999998927116394, 0.20000000298023224, 0.11999999731779099]"
