text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
orange,1,Orange,no,Orange,[],[]
orange,2,juice,no,Orange juice,[],[]
orange,3,is,no,Orange juice is,[],[]
orange,4,a,no,Orange juice is a,[],[]
orange,5,liquid,no,Orange juice is a liquid,[],[]
orange,6,extract,yes,Orange juice is a liquid extract,"[('Orange juice', 'instance of', 'Extract | liquid extract')]",[0.14000000059604645]
orange,7,of,yes,Orange juice is a liquid extract of,[],[]
orange,8,the,no,Orange juice is a liquid extract of the,[],[]
orange,9,orange,yes,Orange juice is a liquid extract of the orange,"[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange')]",[1.0]
orange,10,tree,yes,Orange juice is a liquid extract of the orange tree,"[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree')]",[1.0]
orange,11,"fruit,",yes,"Orange juice is a liquid extract of the orange tree fruit,",[],[]
orange,12,produced,yes,"Orange juice is a liquid extract of the orange tree fruit, produced","[('Orange juice', 'natural product of taxon', 'Orange Trees | orange tree')]",[0.8999999761581421]
orange,13,by,yes,"Orange juice is a liquid extract of the orange tree fruit, produced by",[],[]
orange,14,squeezing,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing",[],[]
orange,15,oranges.,yes,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges.","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9599999785423279]"
orange,16,Commercial,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9599999785423279]"
orange,17,orange,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9700000286102295]"
orange,18,juice,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9399999976158142]"
orange,19,with,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9700000286102295]"
orange,20,a,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[0.9900000095367432, 0.9800000190734863]"
orange,21,long,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[0.9900000095367432, 0.949999988079071]"
orange,22,shelf,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[0.9900000095367432, 0.949999988079071]"
orange,23,life,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[0.9900000095367432, 0.9700000286102295]"
orange,24,is,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[0.9900000095367432, 0.9800000190734863]"
orange,25,made,no,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made","[('Orange juice', 'natural product of taxon', 'Orange (fruit) | orange tree'), ('Orange juice', 'natural product of taxon', 'Orange (fruit) | oranges')]","[1.0, 0.9900000095367432]"
