text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
flag,9,and,A national flag is a flag which represents and,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[],[]
flag,14,national,A national flag is a flag which represents and symbolizes a country. The national,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[],[]
flag,21,government,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government,"[('National flag | national flag', 'subclass of', 'Flag | flag')]","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.25]
flag,48,flags,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags","[('National flag | national flag', 'instance of', 'Flag | flag')]","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.14000000059604645]
flag,49,originated,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[],[]
flag,72,warfare,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare","[('Symbol | symbols', 'part of', 'Flag | flag')]","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.25]
flag,83,constitution,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution","[('Country | country', 'flag', 'National flag | national flag')]","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.23999999463558197]
flag,86,describe,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe","[('National flag | national flag', 'subclass of', 'Historical colours, standards and guidons | military standards'), ('Flag | flag', 'main regulatory text', '--NME-- | constitution'), ('Historical colours, standards and guidons | military standards', 'subclass of', 'Flag | flag')]","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.11999999731779099]
flag,100,"Nepal,","A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal,","[('Flag | flag', 'main regulatory text', '--NME-- | constitution'), ('National flag | national flag', 'subclass of', 'Flag | flag')]","[('Flag of Nepal | national flag', 'subclass of', 'Country | flag'), ('Flag of Nepal | flag of Nepal', 'instance of', 'Country | flag')]","[0.20000000298023224, 0.14000000059604645]"
flag,104,unique,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique","[('Flag of Nepal | flag of Nepal', 'instance of', 'Country | flag')]","[('Flag of Nepal | national flag', 'subclass of', 'Country | flag'), ('Flag of Nepal | national flag', 'significant place', 'Country | country'), ('Flag of Nepal | national flag', 'main regulatory text', ""--NME-- | country's constitution""), ('Country | flag', 'main regulatory text', ""--NME-- | country's constitution""), ('Country | country', 'executive body', ""--NME-- | country's constitution""), (""--NME-- | country's constitution"", 'significant place', 'Country | country'), (""--NME-- | country's constitution"", 'country', 'Nepal'), ('Nepal', 'flag', 'Flag of Nepal | national flag'), ('Nepal', 'country', 'Country | country'), ('Nepal', 'executive body', ""--NME-- | country's constitution"")]","[0.1599999964237213, 0.11999999731779099, 0.4000000059604645, 0.20000000298023224, 0.49000000953674316, 0.25999999046325684, 0.5699999928474426, 0.3799999952316284, 0.12999999523162842, 0.44999998807907104]"
flag,105,triangular,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular","[(""--NME-- | country's constitution"", 'significant place', 'Country | country'), ('Flag of Nepal | national flag', 'significant place', 'Country | country'), (""--NME-- | country's constitution"", 'country', 'Nepal'), ('Nepal', 'executive body', ""--NME-- | country's constitution""), ('Flag of Nepal | national flag', 'main regulatory text', ""--NME-- | country's constitution""), ('Country | flag', 'main regulatory text', ""--NME-- | country's constitution""), ('Country | country', 'executive body', ""--NME-- | country's constitution"")]","[('Flag of Nepal | national flag', 'subclass of', 'Country | flag'), ('Country | country', 'executive body', ""Constitution of Nepal | country's constitution""), (""Constitution of Nepal | country's constitution"", 'significant place', 'Country | country'), (""Constitution of Nepal | country's constitution"", 'country', 'Country | country'), (""Constitution of Nepal | country's constitution"", 'country', 'Nepal'), ('Flag of Nepal | flag', 'instance of', 'Country | flag'), ('Flag of Nepal | flag', 'significant place', 'Nepal'), ('Flag of Nepal | flag of Nepal', 'instance of', 'Country | flag'), ('Flag of Nepal | flag of Nepal', 'significant place', 'Nepal'), ('Nepal', 'flag', 'Flag of Nepal | national flag'), ('Nepal', 'country', 'Country | country'), ('Nepal', 'executive body', ""Constitution of Nepal | country's constitution""), ('Nepal', 'flag', 'Flag of Nepal | flag'), ('Nepal', 'flag', 'Flag of Nepal | flag of Nepal')]","[0.14000000059604645, 0.6600000262260437, 0.44999998807907104, 0.5400000214576721, 0.9700000286102295, 0.14000000059604645, 0.9100000262260437, 0.38999998569488525, 0.9599999785423279, 0.5799999833106995, 0.11999999731779099, 0.9700000286102295, 0.8999999761581421, 1.0]"
flag,106,shape.,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape.","[('Flag of Nepal | national flag', 'subclass of', 'Country | flag'), (""Constitution of Nepal | country's constitution"", 'country', 'Nepal'), ('Country | country', 'executive body', ""Constitution of Nepal | country's constitution""), ('Nepal', 'executive body', ""Constitution of Nepal | country's constitution""), ('Nepal', 'flag', 'Flag of Nepal | flag'), (""Constitution of Nepal | country's constitution"", 'significant place', 'Country | country'), ('Flag of Nepal | flag', 'significant place', 'Nepal'), ('Flag of Nepal | flag', 'instance of', 'Country | flag'), (""Constitution of Nepal | country's constitution"", 'country', 'Country | country')]","[('Country | country', 'executive body', ""--NME-- | country's constitution""), (""--NME-- | country's constitution"", 'significant place', 'Country | country'), (""--NME-- | country's constitution"", 'country', 'Country | country'), (""--NME-- | country's constitution"", 'country', 'Nepal'), ('Flag of Nepal | flag of Nepal', 'instance of', 'Country | flag'), ('Flag of Nepal | flag of Nepal', 'significant place', 'Nepal'), ('Nepal', 'flag', 'Flag of Nepal | national flag'), ('Nepal', 'country', 'Country | country'), ('Nepal', 'executive body', ""--NME-- | country's constitution""), ('Nepal', 'flag', 'Flag of Nepal | flag of Nepal')]","[0.550000011920929, 0.4000000059604645, 0.5099999904632568, 0.9700000286102295, 0.3400000035762787, 0.9599999785423279, 0.18000000715255737, 0.1599999964237213, 0.9700000286102295, 0.9900000095367432]"
flag,109,of,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of","[(""--NME-- | country's constitution"", 'country', 'Country | country'), (""--NME-- | country's constitution"", 'significant place', 'Country | country'), ('Flag of Nepal | flag of Nepal', 'significant place', 'Nepal'), ('Nepal', 'flag', 'Flag of Nepal | flag of Nepal'), (""--NME-- | country's constitution"", 'country', 'Nepal'), ('Nepal', 'executive body', ""--NME-- | country's constitution""), ('Flag of Nepal | national flag', 'main regulatory text', ""--NME-- | country's constitution""), ('Country | flag', 'main regulatory text', ""--NME-- | country's constitution""), ('Country | country', 'executive body', ""--NME-- | country's constitution""), ('Flag of Nepal | flag of Nepal', 'instance of', 'Country | flag')]","[('Flag of Nepal | national flag', 'significant place', 'Nepal'), ('Nepal', 'flag', 'Flag of Nepal | national flag'), ('Nepal', 'country', 'Country | country')]","[0.1599999964237213, 0.9399999976158142, 0.17000000178813934]"
flag,112,width,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width","[(""--NME-- | country's constitution"", 'significant place', 'Country | country'), (""--NME-- | country's constitution"", 'country', 'Country | country'), ('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'significant place', 'Nepal'), ('Flag of Nepal | national flag', 'instance of', '--NME-- | flag'), ('Nepal', 'flag', 'Flag of Nepal | flag of Nepal'), (""--NME-- | country's constitution"", 'country', 'Nepal'), ('Nepal', 'executive body', ""--NME-- | country's constitution""), ('Country | country', 'executive body', ""--NME-- | country's constitution"")]","[('Flag of Nepal | national flag', 'significant place', 'Nepal'), ('Nepal', 'flag', 'Flag of Nepal | national flag'), ('Nepal', 'country', 'Country | country')]","[0.2199999988079071, 0.8799999952316284, 0.1899999976158142]"
flag,113,vary,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width vary","[('Flag of Nepal | national flag', 'significant place', 'Nepal')]","[('Flag of Nepal | national flag', 'subclass of', 'Country | flag'), ('Country | country', 'executive body', ""Constitution of Nepal | country's constitution""), (""Constitution of Nepal | country's constitution"", 'significant place', 'Country | country'), (""Constitution of Nepal | country's constitution"", 'country', 'Country | country'), (""Constitution of Nepal | country's constitution"", 'country', 'Nepal'), ('Nepal', 'flag', 'Flag of Nepal | national flag'), ('Nepal', 'country', 'Country | country'), ('Nepal', 'executive body', ""Constitution of Nepal | country's constitution"")]","[0.28999999165534973, 0.3799999952316284, 0.2199999988079071, 0.5600000023841858, 0.9300000071525574, 0.8299999833106995, 0.27000001072883606, 0.9300000071525574]"
flag,114,among,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width vary among","[(""Constitution of Nepal | country's constitution"", 'country', 'Nepal'), ('Country | country', 'executive body', ""Constitution of Nepal | country's constitution""), ('Nepal', 'executive body', ""Constitution of Nepal | country's constitution""), (""Constitution of Nepal | country's constitution"", 'significant place', 'Country | country'), (""Constitution of Nepal | country's constitution"", 'country', 'Country | country')]","[('Flag of Nepal | national flag', 'subclass of', 'Country | flag'), ('Country | country', 'executive body', ""--NME-- | country's constitution""), (""--NME-- | country's constitution"", 'significant place', 'Country | country'), (""--NME-- | country's constitution"", 'country', 'Country | country'), (""--NME-- | country's constitution"", 'country', 'Nepal'), ('Flag of Nepal | flag of Nepal', 'instance of', 'Country | flag'), ('Flag of Nepal | flag of Nepal', 'significant place', 'Nepal'), ('Nepal', 'flag', 'Flag of Nepal | national flag'), ('Nepal', 'country', 'Country | country'), ('Nepal', 'executive body', ""--NME-- | country's constitution""), ('Nepal', 'flag', 'Flag of Nepal | flag of Nepal')]","[0.3400000035762787, 0.44999998807907104, 0.20000000298023224, 0.5799999833106995, 0.9300000071525574, 0.47999998927116394, 0.9700000286102295, 0.6299999952316284, 0.23999999463558197, 0.949999988079071, 1.0]"
flag,115,standard,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width vary among standard","[(""--NME-- | country's constitution"", 'country', 'Country | country'), (""--NME-- | country's constitution"", 'significant place', 'Country | country'), (""--NME-- | country's constitution"", 'country', 'Nepal'), ('Nepal', 'executive body', ""--NME-- | country's constitution""), ('Country | country', 'executive body', ""--NME-- | country's constitution"")]","[('Flag of Nepal | national flag', 'subclass of', 'Country | flag'), ('Country | country', 'executive body', ""Government of Nepal | country's constitution""), (""Government of Nepal | country's constitution"", 'significant place', 'Country | country'), (""Government of Nepal | country's constitution"", 'country', 'Country | country'), (""Government of Nepal | country's constitution"", 'country', 'Nepal'), ('Flag of Nepal | flag of Nepal', 'instance of', 'Country | flag'), ('Flag of Nepal | flag of Nepal', 'significant place', 'Nepal'), ('Nepal', 'flag', 'Flag of Nepal | national flag'), ('Nepal', 'country', 'Country | country'), ('Nepal', 'executive body', ""Government of Nepal | country's constitution""), ('Nepal', 'flag', 'Flag of Nepal | flag of Nepal')]","[0.25, 0.5600000023841858, 0.17000000178813934, 0.6200000047683716, 0.9599999785423279, 0.4099999964237213, 0.9800000190734863, 0.7099999785423279, 0.15000000596046448, 0.949999988079071, 1.0]"
flag,117,"flags,","A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width vary among standard rectangular flags,","[(""--NME-- | country's constitution"", 'country', 'Country | country'), (""--NME-- | country's constitution"", 'significant place', 'Country | country'), ('Flag of Nepal | national flag', 'significant place', 'Nepal'), ('Government of Nepal | government', 'country', 'Nepal'), (""--NME-- | country's constitution"", 'country', 'Nepal'), ('Nepal', 'executive body', ""--NME-- | country's constitution""), ('Country | country', 'executive body', ""--NME-- | country's constitution"")]","[('Flag of Nepal | national flag', 'subclass of', 'Country | flag'), ('--NME-- | country', 'executive body', ""--NME-- | country's constitution""), ('Country | country', 'executive body', ""Government of Nepal | country's constitution""), (""--NME-- | country's constitution"", 'country', '--NME-- | country'), (""Government of Nepal | country's constitution"", 'country', 'Country | country'), (""Government of Nepal | country's constitution"", 'country', 'Nepal'), (""Government of Nepal | country's constitution"", 'significant place', 'Country | country'), ('Flag of Nepal | flag of Nepal', 'instance of', 'Country | flag'), ('Flag of Nepal | flag of Nepal', 'significant place', 'Nepal'), ('Nepal', 'country', 'Country | country'), ('Nepal', 'executive body', ""Government of Nepal | country's constitution""), ('Nepal', 'flag', 'Flag of Nepal | national flag'), ('Nepal', 'flag', 'Flag of Nepal | flag of Nepal')]","[0.25, 0.5799999833106995, 0.5600000023841858, 0.10999999940395355, 0.6200000047683716, 0.9599999785423279, 0.17000000178813934, 0.4099999964237213, 0.9800000190734863, 0.15000000596046448, 0.949999988079071, 0.7099999785423279, 1.0]"
flag,118,but,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios of height to width vary among standard rectangular flags, but","[(""--NME-- | country's constitution"", 'country', '--NME-- | country')]","[('Flag of Nepal | national flag', 'subclass of', 'Country | flag'), ('--NME-- | country', 'executive body', ""--NME-- | country's constitution""), ('Country | country', 'executive body', ""Government of Nepal | country's constitution""), ('Government of Nepal | government', 'country', 'Nepal'), (""--NME-- | country's constitution"", 'country', 'Nepal'), (""Government of Nepal | country's constitution"", 'country', 'Country | country'), (""Government of Nepal | country's constitution"", 'country', 'Nepal'), (""Government of Nepal | country's constitution"", 'significant place', 'Country | country'), ('Flag of Nepal | flag of Nepal', 'instance of', 'Country | flag'), ('Flag of Nepal | flag of Nepal', 'significant place', 'Nepal'), ('Flag of Nepal | flag of Nepal', 'significant place', 'Nepal'), ('Nepal', 'country', 'Country | country'), ('Nepal', 'executive body', ""--NME-- | country's constitution""), ('Nepal', 'executive body', ""Government of Nepal | country's constitution""), ('Nepal', 'flag', 'Flag of Nepal | national flag'), ('Nepal', 'flag', 'Flag of Nepal | flag of Nepal')]","[0.25, 0.3499999940395355, 0.5600000023841858, 0.11999999731779099, 0.9399999976158142, 0.6200000047683716, 0.9599999785423279, 0.17000000178813934, 0.4099999964237213, 0.9800000190734863, 1.0, 0.15000000596046448, 0.9599999785423279, 0.949999988079071, 0.7099999785423279, 1.0]"
