text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
vehicle,1,A,no,A,[],[]
vehicle,2,vehicle,no,A vehicle,[],[]
vehicle,3,registration,no,A vehicle registration,[],[]
vehicle,4,plate,no,A vehicle registration plate,[],[]
vehicle,5,is,no,A vehicle registration plate is,[],[]
vehicle,6,a,no,A vehicle registration plate is a,[],[]
vehicle,7,metal,no,A vehicle registration plate is a metal,[],[]
vehicle,8,or,no,A vehicle registration plate is a metal or,[],[]
vehicle,9,plastic,no,A vehicle registration plate is a metal or plastic,[],[]
vehicle,10,plate,no,A vehicle registration plate is a metal or plastic plate,[],[]
vehicle,11,attached,no,A vehicle registration plate is a metal or plastic plate attached,[],[]
vehicle,12,to,no,A vehicle registration plate is a metal or plastic plate attached to,[],[]
vehicle,13,a,no,A vehicle registration plate is a metal or plastic plate attached to a,[],[]
vehicle,14,vehicle,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle,[],[]
vehicle,15,for,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for,[],[]
vehicle,16,official,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official,[],[]
vehicle,17,identification,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification,[],[]
vehicle,18,purposes.,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes.,[],[]
vehicle,19,All,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All,[],[]
vehicle,20,countries,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries,[],[]
vehicle,21,require,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require,[],[]
vehicle,22,registration,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration,[],[]
vehicle,23,plates,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates,[],[]
vehicle,24,for,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for,[],[]
vehicle,25,road,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road,[],[]
vehicle,26,vehicles,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles,[],[]
vehicle,27,such,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such,[],[]
vehicle,28,as,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as,[],[]
vehicle,29,"cars,",no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars,",[],[]
vehicle,30,"trucks,",no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks,",[],[]
vehicle,31,and,no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and",[],[]
vehicle,32,motorcycles.,no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles.",[],[]
vehicle,33,Whether,no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether",[],[]
vehicle,34,they,no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they",[],[]
vehicle,35,are,no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are",[],[]
vehicle,36,required,no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required",[],[]
vehicle,37,for,no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for",[],[]
vehicle,38,other,no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for other",[],[]
vehicle,39,"vehicles,",no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for other vehicles,",[],[]
vehicle,40,such,no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are required for other vehicles, such",[],[]
