text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
thylacine,1,The,no,The,[],[]
thylacine,2,thylacine,no,The thylacine,[],[]
thylacine,3,was,no,The thylacine was,[],[]
thylacine,4,the,no,The thylacine was the,[],[]
thylacine,5,largest,no,The thylacine was the largest,[],[]
thylacine,6,known,no,The thylacine was the largest known,[],[]
thylacine,7,carnivorous,no,The thylacine was the largest known carnivorous,[],[]
thylacine,8,marsupial,no,The thylacine was the largest known carnivorous marsupial,[],[]
thylacine,9,of,yes,The thylacine was the largest known carnivorous marsupial of,"[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial')]",[0.5899999737739563]
thylacine,10,modern,no,The thylacine was the largest known carnivorous marsupial of modern,"[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial')]",[0.5699999928474426]
thylacine,11,times.,yes,The thylacine was the largest known carnivorous marsupial of modern times.,"[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]","[0.4300000071525574, 0.28999999165534973]"
thylacine,12,It,yes,The thylacine was the largest known carnivorous marsupial of modern times. It,"[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial')]",[0.5400000214576721]
thylacine,13,is,yes,The thylacine was the largest known carnivorous marsupial of modern times. It is,"[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]","[0.550000011920929, 0.27000001072883606]"
thylacine,14,commonly,no,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly,"[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]","[0.5600000023841858, 0.2800000011920929]"
thylacine,15,known,no,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known,"[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial'), ('Carnivore | carnivorous', 'subclass of', 'Marsupial | marsupial')]","[0.30000001192092896, 0.15000000596046448]"
thylacine,16,as,yes,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as,[],[]
thylacine,17,the,yes,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the,"[('Thylacine | The thylacine', 'subclass of', 'Marsupial | marsupial')]",[0.2800000011920929]
thylacine,18,Tasmanian,yes,The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian,[],[]
