text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
orange,1,Orange,no,Orange,[],[]
orange,2,juice,no,Orange juice,[],[]
orange,3,is,no,Orange juice is,[],[]
orange,4,a,no,Orange juice is a,[],[]
orange,5,liquid,no,Orange juice is a liquid,[],[]
orange,6,extract,yes,Orange juice is a liquid extract,"[('Orange juice', 'has use', 'Extract | liquid extract')]",[0.9100000262260437]
orange,7,of,yes,Orange juice is a liquid extract of,"[('Orange juice', 'has use', 'Liquid | liquid')]",[0.7900000214576721]
orange,8,the,yes,Orange juice is a liquid extract of the,[],[]
orange,9,orange,no,Orange juice is a liquid extract of the orange,[],[]
orange,10,tree,yes,Orange juice is a liquid extract of the orange tree,"[('Orange juice', 'natural product of taxon', '--NME-- | orange tree'), ('Orange juice', 'found in taxon', '--NME-- | orange tree')]","[0.20000000298023224, 0.6399999856948853]"
orange,11,"fruit,",yes,"Orange juice is a liquid extract of the orange tree fruit,","[('Orange juice', 'instance of', 'Extract | liquid extract'), ('Orange juice', 'found in taxon', 'Orange (fruit) | orange tree')]","[0.6100000143051147, 0.8100000023841858]"
orange,12,produced,no,"Orange juice is a liquid extract of the orange tree fruit, produced","[('Orange juice', 'instance of', 'Extract | liquid extract'), ('Orange juice', 'found in taxon', 'Orange (fruit) | orange tree')]","[0.6100000143051147, 0.7300000190734863]"
orange,13,by,yes,"Orange juice is a liquid extract of the orange tree fruit, produced by","[('Orange juice', 'instance of', 'Extract | liquid extract'), ('Orange juice', 'found in taxon', 'Orange Trees | orange tree')]","[0.6899999976158142, 0.5199999809265137]"
orange,14,squeezing,yes,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing","[('Orange juice', 'instance of', 'Extract | liquid extract'), ('Orange juice', 'has use', 'Extract | liquid extract'), ('Orange juice', 'found in taxon', '--NME-- | orange tree')]","[0.699999988079071, 0.8399999737739563, 0.4000000059604645]"
orange,15,oranges.,yes,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges.","[('Orange juice', 'has use', 'Fruit preserves | liquid extract'), ('Orange juice', 'instance of', 'Fruit preserves | liquid extract'), ('Orange juice', 'found in taxon', '--NME-- | orange tree'), ('Orange juice', 'found in taxon', 'Fruit | oranges'), ('--NME-- | orange tree', 'part of', 'Fruit | oranges'), ('Fruit | oranges', 'natural product of taxon', '--NME-- | orange tree'), ('Fruit | oranges', 'part of', '--NME-- | orange tree')]","[0.699999988079071, 0.5799999833106995, 0.4000000059604645, 0.33000001311302185, 0.2800000011920929, 0.3400000035762787, 0.11999999731779099]"
orange,16,Commercial,yes,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial","[('Orange juice', 'has use', 'Liquid | liquid'), ('Orange juice', 'instance of', 'Extract | extract'), ('Fruit tree | orange tree', 'subclass of', 'Fruit | oranges'), ('Fruit tree | orange tree', 'part of', 'Fruit | oranges'), ('Fruit | oranges', 'natural product of taxon', 'Fruit tree | orange tree'), ('Fruit | oranges', 'part of', 'Fruit tree | orange tree')]","[0.41999998688697815, 0.5699999928474426, 0.10000000149011612, 0.25, 0.5199999809265137, 0.1599999964237213]"
orange,17,orange,yes,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange","[('Orange juice', 'has use', 'Liquid | liquid'), ('Orange juice', 'found in taxon', 'Fruit tree | orange tree'), ('Orange (fruit) | oranges', 'natural product of taxon', 'Fruit tree | orange tree'), ('Orange (fruit) | oranges', 'part of', 'Fruit tree | orange tree')]","[0.550000011920929, 0.1599999964237213, 0.6000000238418579, 0.14000000059604645]"
orange,18,juice,yes,"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice","[('Orange juice', 'has use', 'Liquid | liquid'), ('Orange juice', 'natural product of taxon', 'Fruit tree | orange tree'), ('Orange juice', 'found in taxon', 'Fruit tree | orange tree'), ('Orange juice', 'has use', '--NME-- | squeezing oranges'), ('--NME-- | squeezing oranges', 'natural product of taxon', 'Fruit tree | orange tree'), ('Orange (fruit) | orange', 'natural product of taxon', 'Fruit tree | orange tree')]","[0.6899999976158142, 0.15000000596046448, 0.2800000011920929, 0.3199999928474426, 0.1599999964237213, 0.28999999165534973]"
