text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
wed,20,vehicle,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle,"[('World Environment Day | WED', 'conferred by', 'United Nations Environment Organization | United Nation'), ('World Environment Day', 'conferred by', 'United Nations Environment Organization | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations Environment Organization | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations Environment Organization | United Nation')]","[0.41999998688697815, 0.6600000262260437]"
wed,21,for,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for,"[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]",[0.1599999964237213]
wed,22,encouraging,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging,"[('World Environment Day', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.11999999731779099, 0.18000000715255737]"
wed,37,has,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has","[('World Environment Day | it', 'start time', '--NME-- | 1974')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | it', 'start time', '--NME-- | 1974')]","[0.9399999976158142, 0.7900000214576721, 0.25999999046325684]"
wed,85,"corporations,","World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations,","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | it')]","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | it')]",[0.14000000059604645]
wed,89,governments,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments","[('Overpopulation | human overpopulation', 'field of work', 'Climate change | global warming')]","[('Overpopulation | human overpopulation', 'field of work', 'Climate change | global warming'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | it')]","[0.10000000149011612, 0.27000001072883606]"
wed,103,2018,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED')]","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | it'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED')]","[0.23000000417232513, 0.10999999940395355]"
wed,111,to,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018 is Beat Plastic Pollution. The goal is to","[('Overpopulation | marine pollution', 'facet of', 'Climate change | global warming')]","[('Overpopulation | marine pollution', 'facet of', 'Climate change | global warming')]",[0.2199999988079071]
wed,112,encourage,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018 is Beat Plastic Pollution. The goal is to encourage","[('Overpopulation | marine pollution', 'has cause', 'Climate change | global warming'), ('Overpopulation | marine pollution', 'has cause', 'Overpopulation | human overpopulation')]","[('Overpopulation | marine pollution', 'facet of', 'Climate change | global warming'), ('Overpopulation | marine pollution', 'has cause', 'Overpopulation | human overpopulation'), ('Overpopulation | marine pollution', 'has cause', 'Climate change | global warming')]","[0.3700000047683716, 0.1599999964237213, 0.5]"
wed,113,people,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018 is Beat Plastic Pollution. The goal is to encourage people","[('Plastic pollution | marine pollution', 'has cause', 'Climate change | global warming'), ('Plastic pollution | marine pollution', 'has cause', 'Overpopulation | human overpopulation')]","[('Plastic pollution | marine pollution', 'has cause', 'Overpopulation | human overpopulation'), ('Plastic pollution | marine pollution', 'has cause', 'Climate change | global warming')]","[0.9800000190734863, 0.23000000417232513]"
