text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
vehicle,1,A,no,A,[],[]
vehicle,2,vehicle,no,A vehicle,[],[]
vehicle,3,registration,no,A vehicle registration,[],[]
vehicle,4,plate,no,A vehicle registration plate,[],[]
vehicle,5,is,no,A vehicle registration plate is,[],[]
vehicle,6,a,no,A vehicle registration plate is a,[],[]
vehicle,7,metal,no,A vehicle registration plate is a metal,[],[]
vehicle,8,or,no,A vehicle registration plate is a metal or,[],[]
vehicle,9,plastic,no,A vehicle registration plate is a metal or plastic,[],[]
vehicle,10,plate,no,A vehicle registration plate is a metal or plastic plate,[],[]
vehicle,11,attached,no,A vehicle registration plate is a metal or plastic plate attached,[],[]
vehicle,12,to,no,A vehicle registration plate is a metal or plastic plate attached to,[],[]
vehicle,13,a,no,A vehicle registration plate is a metal or plastic plate attached to a,[],[]
vehicle,14,vehicle,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle,[],[]
vehicle,15,for,yes,A vehicle registration plate is a metal or plastic plate attached to a vehicle for,"[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plate (dishware) | plate')]",[0.3499999940395355]
vehicle,16,official,yes,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official,[],[]
vehicle,17,identification,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification,[],[]
vehicle,18,purposes.,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes.,[],[]
vehicle,19,All,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All,[],[]
vehicle,20,countries,yes,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries,"[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plastic | plate')]",[0.27000001072883606]
vehicle,21,require,yes,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require,"[('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate')]",[0.28999999165534973]
vehicle,22,registration,yes,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration,[],[]
vehicle,23,plates,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates,[],[]
vehicle,24,for,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for,[],[]
vehicle,25,road,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road,[],[]
vehicle,26,vehicles,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles,[],[]
vehicle,27,such,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such,[],[]
vehicle,28,as,no,A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as,[],[]
vehicle,29,"cars,",yes,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars,","[('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate')]",[0.28999999165534973]
vehicle,30,"trucks,",yes,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks,","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Plastic | plate'), ('Vehicle registration plate | registration plates', 'subclass of', 'Plastic | plate')]","[0.3199999928474426, 0.2199999988079071]"
vehicle,31,and,yes,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and","[('Vehicle registration plate | vehicle registration plate', 'subclass of', '--NME-- | plate'), ('Vehicle registration plate | registration plates', 'subclass of', '--NME-- | plate')]","[0.3100000023841858, 0.20999999344348907]"
vehicle,32,motorcycles.,yes,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles.",[],[]
vehicle,33,Whether,no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether",[],[]
vehicle,34,they,yes,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | plate')]",[0.3199999928474426]
vehicle,35,are,no,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for official identification purposes. All countries require registration plates for road vehicles such as cars, trucks, and motorcycles. Whether they are","[('Vehicle registration plate | vehicle registration plate', 'subclass of', 'Vehicle registration plate | plate')]",[0.3199999928474426]
