text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
flag,13,The,A national flag is a flag which represents and symbolizes a country. The,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[],[]
flag,17,usually,A national flag is a flag which represents and symbolizes a country. The national flag is usually,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[],[]
flag,19,by,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by,"[('National flag | national flag', 'instance of', 'Flag | flag')]","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.7699999809265137]
flag,21,government,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government,"[('National flag | national flag', 'subclass of', 'Flag | flag')]",[],[]
flag,25,but,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but","[('National flag | national flag', 'instance of', 'Flag | flag')]",[],[]
flag,83,constitution,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution","[('--NME-- | government', 'facet of', 'Flag | flag')]","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.6399999856948853]
flag,95,except,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except","[('Country | country', 'foundational text', '--NME-- | constitution'), ('Country | country', 'main regulatory text', '--NME-- | constitution'), ('Country | country', 'basic form of government', '--NME-- | constitution')]","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.5400000214576721]
flag,98,flag,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag","[('Country | country', 'foundational text', '--NME-- | constitution'), ('Country | country', 'main regulatory text', '--NME-- | constitution'), ('Country | country', 'basic form of government', '--NME-- | constitution')]","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.5899999737739563]
flag,100,"Nepal,","A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal,","[('National flag | national flag', 'subclass of', 'Flag | flag')]","[('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'subclass of', '--NME-- | flag')]","[0.44999998807907104, 0.1899999976158142]"
flag,108,ratios,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags originated as military standards, which were used as signs on the battlefield. The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century. A country's constitution will often describe the national flag. All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape. The ratios","[('Flag of Nepal | flag of Nepal', 'instance of', '--NME-- | flag'), ('Flag of Nepal | flag of Nepal', 'subclass of', '--NME-- | flag')]","[('Flag of Nepal | flag of Nepal', 'instance of', 'Symbol | flag'), ('Flag of Nepal | flag of Nepal', 'subclass of', 'Symbol | flag')]","[0.5299999713897705, 0.11999999731779099]"
