text_type,output_step,current_word,triplet_impacted,current_text,total_triplets,triplet_scores
flag,1,A,no,A,[],[]
flag,2,national,no,A national,[],[]
flag,3,flag,no,A national flag,[],[]
flag,4,is,no,A national flag is,[],[]
flag,5,a,no,A national flag is a,[],[]
flag,6,flag,no,A national flag is a flag,[],[]
flag,7,which,no,A national flag is a flag which,[],[]
flag,8,represents,no,A national flag is a flag which represents,[],[]
flag,9,and,no,A national flag is a flag which represents and,[],[]
flag,10,symbolizes,no,A national flag is a flag which represents and symbolizes,[],[]
flag,11,a,yes,A national flag is a flag which represents and symbolizes a,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.10999999940395355]
flag,12,country.,no,A national flag is a flag which represents and symbolizes a country.,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.18000000715255737]
flag,13,The,yes,A national flag is a flag which represents and symbolizes a country. The,[],[]
flag,14,national,yes,A national flag is a flag which represents and symbolizes a country. The national,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.17000000178813934]
flag,15,flag,no,A national flag is a flag which represents and symbolizes a country. The national flag,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.11999999731779099]
flag,16,is,no,A national flag is a flag which represents and symbolizes a country. The national flag is,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.10000000149011612]
flag,17,usually,yes,A national flag is a flag which represents and symbolizes a country. The national flag is usually,[],[]
flag,18,flown,yes,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown,"[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.11999999731779099]
flag,19,by,yes,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by,"[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.7699999809265137]
flag,20,the,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the,"[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.6700000166893005]
flag,21,government,yes,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government,[],[]
flag,22,of,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of,[],[]
flag,23,a,no,A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a,[],[]
flag,24,"country,",yes,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country,","[('National flag | national flag', 'instance of', 'Flag | flag')]",[0.11999999731779099]
flag,25,but,yes,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but",[],[]
flag,26,it,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it",[],[]
flag,27,can,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can",[],[]
flag,28,also,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also",[],[]
flag,29,be,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be",[],[]
flag,30,flown,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown",[],[]
flag,31,by,yes,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.75]
flag,32,its,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.699999988079071]
flag,33,citizens.,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens.","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.699999988079071]
flag,34,A,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.6700000166893005]
flag,35,national,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.6800000071525574]
flag,36,flag,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.6700000166893005]
flag,37,is,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.5799999833106995]
flag,38,designed,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.6700000166893005]
flag,39,with,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.6899999976158142]
flag,40,specific,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.7200000286102295]
flag,41,meanings,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.5899999737739563]
flag,42,for,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.6100000143051147]
flag,43,its,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.6299999952316284]
flag,44,colours,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.6499999761581421]
flag,45,and,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.47999998927116394]
flag,46,symbols.,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols.","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.5699999928474426]
flag,47,"Historically,",no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically,","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.46000000834465027]
flag,48,flags,no,"A national flag is a flag which represents and symbolizes a country. The national flag is usually flown by the government of a country, but it can also be flown by its citizens. A national flag is designed with specific meanings for its colours and symbols. Historically, flags","[('National flag | national flag', 'subclass of', 'Flag | flag')]",[0.47999998927116394]
