text_type,output_step,current_word,current_text,new_triplets,total_triplets,triplet_scores
wed,19,principal,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal,"[('World Environment Day | WED', 'country', '--NME-- | United Nation'), ('--NME-- | United Nation', 'significant event', 'World Environment Day'), ('World Environment Day', 'country', '--NME-- | United Nation')]","[('World Environment Day', 'country', '--NME-- | United Nation'), ('World Environment Day | WED', 'country', '--NME-- | United Nation'), ('--NME-- | United Nation', 'significant event', 'World Environment Day')]","[0.9700000286102295, 0.6200000047683716, 0.27000001072883606]"
wed,20,vehicle,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle,"[('World Environment Day | WED', 'conferred by', '--NME-- | United Nation'), ('World Environment Day', 'conferred by', '--NME-- | United Nation')]","[('World Environment Day', 'conferred by', '--NME-- | United Nation'), ('World Environment Day | WED', 'conferred by', '--NME-- | United Nation')]","[0.14000000059604645, 0.18000000715255737]"
wed,31,environment.,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment.,"[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation'), ('World Environment Day', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.6499999761581421, 0.7699999809265137]"
wed,53,"overpopulation,","World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation,","[('World Environment Day', 'facet of', '--NME-- | United Nation'), ('World Environment Day | WED', 'significant place', '--NME-- | United Nation'), ('World Environment Day', 'significant place', '--NME-- | United Nation')]","[('World Environment Day', 'facet of', '--NME-- | United Nation'), ('World Environment Day', 'significant place', '--NME-- | United Nation'), ('World Environment Day', 'conferred by', '--NME-- | United Nation'), ('World Environment Day | WED', 'significant place', '--NME-- | United Nation'), ('World Environment Day | WED', 'conferred by', '--NME-- | United Nation')]","[0.17000000178813934, 0.30000001192092896, 0.3400000035762787, 0.15000000596046448, 0.2800000011920929]"
wed,56,warming.,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming.","[('World Environment Day | WED', 'facet of', '--NME-- | United Nation')]","[('World Environment Day', 'facet of', '--NME-- | United Nation'), ('World Environment Day', 'significant place', '--NME-- | United Nation'), ('World Environment Day | WED', 'facet of', '--NME-- | United Nation')]","[0.9900000095367432, 0.6600000262260437, 0.6800000071525574]"
wed,91,celebrities,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities","[('World Environment Day', 'country', 'World population | United Nation')]","[('World Environment Day', 'country', 'World population | United Nation')]",[0.10000000149011612]
wed,94,to,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to","[('World Environment Day', 'facet of', 'World population | United Nation')]","[('World Environment Day', 'facet of', 'World population | United Nation')]",[0.14000000059604645]
wed,97,causes.,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes.","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | it')]","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | it')]",[0.10999999940395355]
wed,104,is,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018 is","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED')]","[('Climate change | global warming', 'statement is subject of', 'World Environment Day | it'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED')]","[0.7200000286102295, 0.11999999731779099]"
wed,112,encourage,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018 is Beat Plastic Pollution. The goal is to encourage","[('Climate change | global warming', 'has cause', '--NME-- | overpopulation')]","[('Climate change | global warming', 'has cause', '--NME-- | overpopulation'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | it'), ('Climate change | global warming', 'statement is subject of', 'World Environment Day | WED')]","[0.10999999940395355, 0.5199999809265137, 0.5299999713897705]"
