text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
wed,20,vehicle,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle,"[('World Environment Day | WED', 'country', '--NME-- | United Nation'), ('--NME-- | United Nation', 'significant event', 'World Environment Day'), ('World Environment Day', 'country', '--NME-- | United Nation')]","[('World Environment Day', 'conferred by', '--NME-- | United Nation'), ('World Environment Day | WED', 'conferred by', '--NME-- | United Nation')]","[0.14000000059604645, 0.18000000715255737]"
wed,21,for,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for,"[('World Environment Day | WED', 'conferred by', '--NME-- | United Nation'), ('World Environment Day', 'conferred by', '--NME-- | United Nation')]",[],[]
wed,24,and,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and,"[('World Environment Day', 'country', '--NME-- | United Nation')]",[],[]
wed,26,for,World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for,"[('World Environment Day | WED', 'conferred by', '--NME-- | United Nation'), ('World Environment Day', 'conferred by', '--NME-- | United Nation'), ('World Environment Day', 'country', '--NME-- | United Nation')]",[],[]
wed,40,flagship,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship","[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation'), ('World Environment Day', 'conferred by', 'United Nations | United Nation')]",[],[]
wed,42,for,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for","[('World Environment Day | WED', 'conferred by', '--NME-- | United Nation'), ('World Environment Day', 'conferred by', '--NME-- | United Nation'), ('World Environment Day', 'country', '--NME-- | United Nation')]","[('World Environment Day', 'conferred by', 'United Nations | United Nation'), ('World Environment Day | WED', 'conferred by', 'United Nations | United Nation')]","[0.9900000095367432, 0.9800000190734863]"
wed,53,"overpopulation,","World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation,","[('World Environment Day | WED', 'conferred by', 'United Nations | United Nation'), ('World Environment Day', 'conferred by', 'United Nations | United Nation')]","[('World Environment Day', 'facet of', '--NME-- | United Nation'), ('World Environment Day', 'significant place', '--NME-- | United Nation'), ('World Environment Day', 'conferred by', '--NME-- | United Nation'), ('World Environment Day | WED', 'significant place', '--NME-- | United Nation'), ('World Environment Day | WED', 'conferred by', '--NME-- | United Nation')]","[0.17000000178813934, 0.30000001192092896, 0.3400000035762787, 0.15000000596046448, 0.2800000011920929]"
wed,54,and,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and","[('World Environment Day', 'facet of', '--NME-- | United Nation')]","[('World Environment Day', 'significant place', '--NME-- | United Nation'), ('World Environment Day', 'conferred by', '--NME-- | United Nation'), ('World Environment Day | WED', 'significant place', '--NME-- | United Nation'), ('World Environment Day | WED', 'conferred by', '--NME-- | United Nation')]","[0.3400000035762787, 0.9200000166893005, 0.15000000596046448, 0.9200000166893005]"
wed,56,warming.,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming.","[('World Environment Day | WED', 'conferred by', '--NME-- | United Nation'), ('World Environment Day | WED', 'significant place', '--NME-- | United Nation'), ('World Environment Day', 'conferred by', '--NME-- | United Nation')]","[('World Environment Day', 'facet of', '--NME-- | United Nation'), ('World Environment Day', 'significant place', '--NME-- | United Nation'), ('World Environment Day | WED', 'facet of', '--NME-- | United Nation')]","[0.9900000095367432, 0.6600000262260437, 0.6800000071525574]"
wed,63,global,"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global","[('World Environment Day | WED', 'facet of', '--NME-- | United Nation'), ('World Environment Day', 'significant place', '--NME-- | United Nation')]","[('World Environment Day', 'facet of', '--NME-- | United Nation')]",[0.7900000214576721]
